method classifier sim cls_err Batch_Separability
tSNE_plx_20 LDA 18 0.279661016949152 0.720338983050848
tSNE_plx_5 LDA 18 0.372881355932203 0.627118644067797
PCA LDA 18 0.0932203389830508 0.906779661016949
MDS LDA 18 0.0677966101694916 0.932203389830508
ZIFA LDA 18 0.0423728813559321 0.957627118644068
VAMF LDA 18 0.0593220338983051 0.940677966101695
ZINB-WAVE LDA 18 0.076271186440678 0.923728813559322
fSCLVM LDA 18 0.449152542372881 0.550847457627119
tSNE_plx_20 QDA 18 0.245762711864407 0.754237288135593
tSNE_plx_5 QDA 18 0.347457627118644 0.652542372881356
PCA QDA 18 0.0932203389830508 0.906779661016949
MDS QDA 18 0.0677966101694916 0.932203389830508
ZIFA QDA 18 0.0423728813559321 0.957627118644068
VAMF QDA 18 0.0508474576271187 0.949152542372881
ZINB-WAVE QDA 18 0.0847457627118644 0.915254237288136
fSCLVM QDA 18 0.415254237288136 0.584745762711864
tSNE_plx_20 LDA 19 0.38135593220339 0.61864406779661
tSNE_plx_5 LDA 19 0.423728813559322 0.576271186440678
PCA LDA 19 0.127118644067797 0.872881355932203
MDS LDA 19 0.11864406779661 0.88135593220339
ZIFA LDA 19 0.0932203389830508 0.906779661016949
VAMF LDA 19 0.076271186440678 0.923728813559322
ZINB-WAVE LDA 19 0.135593220338983 0.864406779661017
fSCLVM LDA 19 0.0847457627118644 0.915254237288136
tSNE_plx_20 QDA 19 0.228813559322034 0.771186440677966
tSNE_plx_5 QDA 19 0.415254237288136 0.584745762711864
PCA QDA 19 0.135593220338983 0.864406779661017
MDS QDA 19 0.110169491525424 0.889830508474576
ZIFA QDA 19 0.0932203389830508 0.906779661016949
VAMF QDA 19 0.0677966101694915 0.932203389830509
ZINB-WAVE QDA 19 0.135593220338983 0.864406779661017
fSCLVM QDA 19 0.0932203389830508 0.906779661016949
tSNE_plx_20 LDA 20 0.177966101694915 0.822033898305085
tSNE_plx_5 LDA 20 0.296610169491526 0.703389830508474
PCA LDA 20 0.14406779661017 0.85593220338983
MDS LDA 20 0.101694915254237 0.898305084745763
ZIFA LDA 20 0.0847457627118644 0.915254237288136
VAMF LDA 20 0.423728813559322 0.576271186440678
ZINB-WAVE LDA 20 0.0932203389830508 0.906779661016949
fSCLVM LDA 20 0.0593220338983051 0.940677966101695
tSNE_plx_20 QDA 20 0.169491525423729 0.830508474576271
tSNE_plx_5 QDA 20 0.254237288135593 0.745762711864407
PCA QDA 20 0.101694915254237 0.898305084745763
MDS QDA 20 0.0932203389830508 0.906779661016949
ZIFA QDA 20 0.0847457627118644 0.915254237288136
VAMF QDA 20 0.440677966101695 0.559322033898305
ZINB-WAVE QDA 20 0.0932203389830508 0.906779661016949
fSCLVM QDA 20 0.0423728813559323 0.957627118644068
tSNE_plx_20 LDA 21 0.220338983050848 0.779661016949152
tSNE_plx_5 LDA 21 0.288135593220339 0.711864406779661
PCA LDA 21 0.0932203389830508 0.906779661016949
MDS LDA 21 0.0593220338983051 0.940677966101695
ZIFA LDA 21 0.0593220338983051 0.940677966101695
VAMF LDA 21 0.35593220338983 0.64406779661017
ZINB-WAVE LDA 21 0.076271186440678 0.923728813559322
fSCLVM LDA 21 0.389830508474576 0.610169491525424
tSNE_plx_20 QDA 21 0.177966101694915 0.822033898305085
tSNE_plx_5 QDA 21 0.254237288135593 0.745762711864407
PCA QDA 21 0.101694915254237 0.898305084745763
MDS QDA 21 0.0593220338983051 0.940677966101695
ZIFA QDA 21 0.0508474576271186 0.949152542372881
VAMF QDA 21 0.338983050847458 0.661016949152542
ZINB-WAVE QDA 21 0.076271186440678 0.923728813559322
fSCLVM QDA 21 0.389830508474576 0.610169491525424
tSNE_plx_20 LDA 22 0.254237288135593 0.745762711864407
tSNE_plx_5 LDA 22 0.313559322033898 0.686440677966102
PCA LDA 22 0.135593220338983 0.864406779661017
MDS LDA 22 0.11864406779661 0.88135593220339
ZIFA LDA 22 0.0847457627118644 0.915254237288136
VAMF LDA 22 0.398305084745763 0.601694915254237
ZINB-WAVE LDA 22 0.110169491525424 0.889830508474576
fSCLVM LDA 22 0.0932203389830508 0.906779661016949
tSNE_plx_20 QDA 22 0.203389830508475 0.796610169491525
tSNE_plx_5 QDA 22 0.305084745762712 0.694915254237288
PCA QDA 22 0.127118644067797 0.872881355932203
MDS QDA 22 0.110169491525424 0.889830508474576
ZIFA QDA 22 0.0932203389830508 0.906779661016949
VAMF QDA 22 0.389830508474576 0.610169491525424
ZINB-WAVE QDA 22 0.11864406779661 0.88135593220339
fSCLVM QDA 22 0.11864406779661 0.88135593220339
tSNE_plx_20 LDA 23 0.38135593220339 0.61864406779661
tSNE_plx_5 LDA 23 0.406779661016949 0.593220338983051
PCA LDA 23 0.135593220338983 0.864406779661017
MDS LDA 23 0.0847457627118644 0.915254237288136
ZIFA LDA 23 0.0423728813559321 0.957627118644068
VAMF LDA 23 0.449152542372881 0.550847457627119
ZINB-WAVE LDA 23 0.0677966101694916 0.932203389830508
fSCLVM LDA 23 0.0254237288135593 0.974576271186441
