"method" "Instrument" "Detection_Rate" "Tumor" "dim1" "dim2"
"tSNE_plx_20" "HISEQ" 0.624802110817942 "MGH28" -12.0191495424031 -8.72488975264261
"tSNE_plx_20" "HISEQ" 0.580474934036939 "MGH28" -10.7091680706864 -10.8979616768447
"tSNE_plx_20" "HISEQ" 0.705892700087951 "MGH28" -9.7373868032511 -6.39737703022958
"tSNE_plx_20" "HISEQ" 0.634476693051891 "MGH28" -8.71123120376407 -9.20407240961356
"tSNE_plx_20" "HISEQ" 0.59542656112577 "MGH28" -10.6974731768026 -4.76030624526727
"tSNE_plx_20" "HISEQ" 0.409146877748461 "MGH28" -6.66856761990205 -12.4251658053692
"tSNE_plx_20" "HISEQ" 0.454353562005277 "MGH28" -8.32257832315482 -14.323833188821
"tSNE_plx_20" "HISEQ" 0.687247141600704 "MGH28" -8.63038269286659 -6.1539290608028
"tSNE_plx_20" "HISEQ" 0.561125769569041 "MGH28" -3.83595975671946 -8.11994299596119
"tSNE_plx_20" "HISEQ" 0.653122251539138 "MGH28" -10.9689959342904 -9.37403596424131
"tSNE_plx_20" "HISEQ" 0.504661389621812 "MGH28" -5.10914208554675 -13.8398262483143
"tSNE_plx_20" "HISEQ" 0.543007915567282 "MGH28" -4.30319385269395 -11.3052432333825
"tSNE_plx_20" "HISEQ" 0.618469656992084 "MGH28" -3.10711636631603 -1.69541756691568
"tSNE_plx_20" "HISEQ" 0.605452946350044 "MGH28" -8.78452337686136 -2.95753680015166
"tSNE_plx_20" "HISEQ" 0.7155672823219 "MGH28" -10.3031844114742 -7.52569018295598
"tSNE_plx_20" "HISEQ" 0.405804749340369 "MGH28" -1.68937307648409 -8.73753266860227
"tSNE_plx_20" "HISEQ" 0.614072119613017 "MGH28" -8.19554654856845 -2.51453941043998
"tSNE_plx_20" "HISEQ" 0.742480211081794 "MGH28" -8.67010675917425 -4.64172791391384
"tSNE_plx_20" "HISEQ" 0.587510993843448 "MGH28" -12.6993589480011 -8.84034960870736
"tSNE_plx_20" "HISEQ" 0.694986807387863 "MGH28" -9.6579147336511 -5.82559754485685
"tSNE_plx_20" "HISEQ" 0.549692172383465 "MGH28" -8.21386142978898 -14.2390896402769
"tSNE_plx_20" "HISEQ" 0.490061565523307 "MGH28" -12.6471667274101 -12.7090447801975
"tSNE_plx_20" "HISEQ" 0.758311345646438 "MGH28" -8.36014013218953 -4.17392726451592
"tSNE_plx_20" "HISEQ" 0.537379067722076 "MGH28" -14.0605059177715 -9.06395042122185
"tSNE_plx_20" "HISEQ" 0.602110817941953 "MGH28" -4.57067256359566 -8.43110321102022
"tSNE_plx_20" "HISEQ" 0.5051890941073 "MGH28" -7.80956987201762 -11.3532747046503
"tSNE_plx_20" "HISEQ" 0.589973614775726 "MGH28" -8.29164563955784 -8.8889388769317
"tSNE_plx_20" "HISEQ" 0.563940193491645 "MGH28" -12.2537437473755 -2.1329869961285
"tSNE_plx_20" "HISEQ" 0.645206684256816 "MGH28" -8.20041608052501 -2.39954251951593
"tSNE_plx_20" "HISEQ" 0.580826737027265 "MGH28" -12.9888849199606 -8.04956260414925
"tSNE_plx_20" "HISEQ" 0.651187335092348 "MGH28" -10.6241824812466 -6.58073722798892
"tSNE_plx_20" "HISEQ" 0.645558487247142 "MGH28" -12.1470772506515 0.442794578518752
"tSNE_plx_20" "HISEQ" 0.688126649076517 "MGH28" -7.99731887970116 -3.23863902969978
"tSNE_plx_20" "HISEQ" 0.543183817062445 "MGH28" -11.1987350396348 -10.7802953298642
"tSNE_plx_20" "HISEQ" 0.614072119613017 "MGH28" -11.0014236310218 1.56066077306958
"tSNE_plx_20" "HISEQ" 0.535444151275286 "MGH28" -5.0237005358626 -12.1788350529518
"tSNE_plx_20" "HISEQ" 0.676341248900616 "MGH28" -7.71407795823649 -7.48556500138704
"tSNE_plx_20" "HISEQ" 0.566051011433597 "MGH28" -6.2500791603964 -10.4282732089993
"tSNE_plx_20" "HISEQ" 0.552330694810906 "MGH28" -13.0695565139467 -10.7432969197979
"tSNE_plx_20" "HISEQ" 0.589797713280563 "MGH28" -5.02331872779714 -12.1140630834694
"tSNE_plx_20" "HISEQ" 0.614599824098505 "MGH28" -7.60910150248845 -1.83971653269969
"tSNE_plx_20" "HISEQ" 0.393315743183817 "MGH28" -10.7876093190057 -12.1397945722908
"tSNE_plx_20" "HISEQ" 0.641160949868074 "MGH28" -13.4778929985196 -10.9948905395852
"tSNE_plx_20" "HISEQ" 0.493755496921724 "MGH28" -11.8267601205741 -12.2067860710432
"tSNE_plx_20" "HISEQ" 0.771503957783641 "MGH28" -2.64307489184603 -2.21882231055104
"tSNE_plx_20" "HISEQ" 0.542128408091469 "MGH28" -3.32470642467038 -7.96844281772085
"tSNE_plx_20" "HISEQ" 0.594195250659631 "MGH28" -10.0857140601719 -9.77129049797033
"tSNE_plx_20" "HISEQ" 0.46561125769569 "MGH28" -1.98559641353075 -7.90629619822748
"tSNE_plx_20" "HISEQ" 0.751627088830255 "MGH28" -11.8550538879002 0.469231158504761
"tSNE_plx_20" "HISEQ" 0.657343887423043 "MGH28" -8.77934554603569 -7.35836923167776
